Handle,Title,Body (HTML),,Type,Published
w4405r-hype-full-zip-hoodie-steel-blue,Hype Full Zip Hoodie - Steel Blue,"<p>The definitive comfy look of right now. Snuggle up in the oversized, street-ready Hype Full Zip Hoodie, made from tri-blend fleece. Dropped shoulders, front pockets to stash your phone &amp; essentials, and hood with drawstring are perfect finishing touches on this everyday go-to cover. We love it with cargo leggings &amp; shorts.</p>
<ul>
<li>Fuzzy tri-blend fleece</li>
<li>Hooded with full zip front</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Outerwear:Jackets,TRUE
w4405r-hype-full-zip-hoodie-steel-blue,,,,,
w4405r-hype-full-zip-hoodie-steel-blue,,,,,
w4405r-hype-full-zip-hoodie-steel-blue,,,,,
w4405r-hype-full-zip-hoodie-steel-blue,,,,,
w4405r-hype-full-zip-hoodie-steel-blue,,,,,
w4405r-hype-full-zip-hoodie-steel-blue,,,,,
w4405r-hype-full-zip-hoodie-steel-blue,,,,,
w4405r-hype-full-zip-hoodie-steel-blue,,,,,
w1406r-alosoft-crop-finesse-short-sleeve-magenta-crush,Alosoft Crop Finesse Short Sleeve - Magenta Crush,"<p>Strong in the studio, sweet on the street. The Alosoft Crop Finesse Short Sleeve has all the performance qualities you love, plus a baby tee silhouette and super-soft feel. It’s a yoga wardrobe staple.</p>
<ul>
<li>Super-soft performance Alosoft</li>
<li>On-trend cropped silhouette</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Short Sleeve,TRUE
w1406r-alosoft-crop-finesse-short-sleeve-magenta-crush,,,,,
w1406r-alosoft-crop-finesse-short-sleeve-magenta-crush,,,,,
w1406r-alosoft-crop-finesse-short-sleeve-magenta-crush,,,,,
w1406r-alosoft-crop-finesse-short-sleeve-magenta-crush,,,,,
a0059u-glow-wristband-2-pack-pink-fuchsia,Glow Wristband (2-Pack) - Pink Fuchsia,"<p>Pair the Glow Wristband with any of the latest Alo for an athlete-approved, street-ready look. Functional, forward and made in our stretchy and ultra-comfy Terry fabric.</p>
<ul>
<li>Stretchy terry cloth wristband</li>
<li>Length: 3 3/8""</li>
<li>Width: 2 3/8""</li>
</ul>",,Accessories:Equipment:Wristband,TRUE
a0059u-glow-wristband-2-pack-pink-fuchsia,,,,,
a0059u-glow-wristband-2-pack-pink-fuchsia,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,"7"" Yogi Lace Up Short - Bright Aqua/White","<p>Tied &amp; True! Team up with this sports uni-inspired biker short in our soft and sculpting Airbrush. High-waisted fit, with lace-up placket at the front.</p>
<ul>
<li>Alo logo graphic at the leg</li>
<li>Athletic-inspired lace-up waist</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Bottoms:Shorts,TRUE
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
w6163rg-yogi-lace-up-short-bright-aqua-white,,,,,
m3127r-airwave-long-sleeve-shark-skin,Airwave Long Sleeve - Shark Skin,"<p>Put the chill on with the Airwave Long Sleeve. It’s made with our softest jersey and has a fabric-blocked design, breathable mesh back and relaxed silhouette. Wear it to-and-from with shorts and slides.</p>
<li>On-trend fabric blocking</li> 
<li>Breathable mesh detail</li> 
<li>Designed to work from studio to street</li> ",,Men:Tops:Long Sleeve,TRUE
m3127r-airwave-long-sleeve-shark-skin,,,,,
m3127r-airwave-long-sleeve-shark-skin,,,,,
m3127r-airwave-long-sleeve-shark-skin,,,,,
m3127r-airwave-long-sleeve-shark-skin,,,,,
w9536r-seamless-delight-high-neck-bra-oatmeal-heather,Seamless Delight High Neck Bra - Oatmeal Heather,"<p>Hello, new favorite tank. The Seamless Delight High Neck Bra has an on-trend high-neck silhouette and soft, smooth feel, so you can wear it from practice to pavement without missing a beat. Pairs well with everything Alo.</p>
<ul>
<li>Studio-to-street superstar</li>
<li>On-trend longline silhouette</li>
<li>Medium impact — practice-perfect</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Tanks,TRUE
w9536r-seamless-delight-high-neck-bra-oatmeal-heather,,,,,
w9536r-seamless-delight-high-neck-bra-oatmeal-heather,,,,,
w9536r-seamless-delight-high-neck-bra-oatmeal-heather,,,,,
w9536r-seamless-delight-high-neck-bra-oatmeal-heather,,,,,
w1396r-ribbed-short-sleeve-ivory,Ribbed Short Sleeve - Ivory,"<p>There’s nothing basic about this baby tee, which features subtle ribbing, a crewneck and a cropped body. Super stretchy and so soft, for yoga and all your other plans.</p>
<ul>
<li>2x2 Rib</li>
<li>Slightly cropped sleeves</li>
<li>Essential coverup </li>
</ul>",,Women:Tops:Long Sleeve,TRUE
w1396r-ribbed-short-sleeve-ivory,,,,,
w1396r-ribbed-short-sleeve-ivory,,,,,
w1396r-ribbed-short-sleeve-ivory,,,,,
w1396r-ribbed-short-sleeve-ivory,,,,,
w1396r-ribbed-short-sleeve-ivory,,,,,
w1396r-ribbed-short-sleeve-ivory,,,,,
w1396r-ribbed-short-sleeve-ivory,,,,,
w3658r-ribbed-ameilia-shrug-black,Ribbed Amelia Shrug - Black,"<p>Shrug it off from practice to pavement. Our Ribbed Amelia Shrug pairs soft, long sleeves with a traditional shrug. You’re gonna want two, tbh. Pair with a tank when evening’s breezy or if afternoon AC is happening.</p>
<ul>
<li>Extreme cropped long sleeve shrug</li>
<li>Super-soft, fine sweater knit</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Long Sleeve,TRUE
w3658r-ribbed-ameilia-shrug-black,,,,,
w3658r-ribbed-ameilia-shrug-black,,,,,
w3658r-ribbed-ameilia-shrug-black,,,,,
w3658r-ribbed-ameilia-shrug-black,,,,,
w3658r-ribbed-ameilia-shrug-black,,,,,
w3658r-ribbed-ameilia-shrug-black,,,,,
w3658r-ribbed-ameilia-shrug-white,Ribbed Amelia Shrug - White,"<p>Shrug it off from practice to pavement. Our Ribbed Amelia Shrug pairs soft, long sleeves with a traditional shrug. You’re gonna want two, tbh. Pair with a tank when evening’s breezy or if afternoon AC is happening.</p>
<ul>
<li>Extreme cropped long sleeve shrug</li>
<li>Super-soft, fine sweater knit</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Long Sleeve,TRUE
w3658r-ribbed-ameilia-shrug-white,,,,,
w3658r-ribbed-ameilia-shrug-white,,,,,
w3658r-ribbed-ameilia-shrug-white,,,,,
w3658r-ribbed-ameilia-shrug-white,,,,,
